census_tract,county,state,full_fips,median_income,total_population,pct_nonwhite,pct_no_vehicle,pct_poverty
4132.02,Norfolk,Massachusetts,25021413202,129653,2463,0.1311408850994722,0.07426778242677824,0.026807473598700244
4133,Norfolk,Massachusetts,25021413300,135938,5538,0.17443120260021672,0.03715450838241957,0.056414922656960874
4134.01,Norfolk,Massachusetts,25021413401,93942,3393,0.17830828175655766,0.17962116263879818,0.044305679452869465
4134.02,Norfolk,Massachusetts,25021413402,110300,4805,0.44245577523413115,0.05129533678756477,0.048146570089475926
4135,Norfolk,Massachusetts,25021413500,69717,4715,0.44708377518557796,0.05835010060362173,0.1515991471215352
4141,Norfolk,Massachusetts,25021414100,172065,5724,0.3855695317959469,0.00617828773168579,0.009352391035821422
4142,Norfolk,Massachusetts,25021414200,216364,7342,0.3286570416780169,0.01009657594381036,0.005196936542669584
4143,Norfolk,Massachusetts,25021414300,169318,5407,0.2339559829850194,0.053203040173724216,0.03166080355489724
4151.01,Norfolk,Massachusetts,25021415101,152024,5574,0.2635450304987441,0.050261780104712044,0.027650613440761765
4151.03,Norfolk,Massachusetts,25021415103,99688,4340,0.27004608294930876,0.004780114722753346,0.05708937763219467
4151.04,Norfolk,Massachusetts,25021415104,124350,3742,0.15098877605558525,0.08008213552361396,0.038214858364510954
4152.01,Norfolk,Massachusetts,25021415201,140815,3682,0.4505703422053232,0.11823647294589178,0.08681227536632569
4152.02,Norfolk,Massachusetts,25021415202,115833,3083,0.2542977619202076,0.08415841584158416,0.0735973597359736
4153,Norfolk,Massachusetts,25021415300,138917,3872,0.20041322314049592,0.07379823967501693,0.03670919031502213
4161.01,Norfolk,Massachusetts,25021416101,167237,5784,0.1817081604426003,0.03711558854718982,0.0463828314295604
4161.02,Norfolk,Massachusetts,25021416102,183750,4307,0.2930113768284188,0.06529850746268656,0.031055900621118012
4162,Norfolk,Massachusetts,25021416200,129413,6991,0.5971963953654699,0.12748835239305378,0.08356184153557512
4163,Norfolk,Massachusetts,25021416300,184855,5204,0.30188316679477323,0.037383177570093455,0.057569296375266525
4164,Norfolk,Massachusetts,25021416400,193005,6201,0.10175778100306399,0.011437095972153158,0.037900874635568516
4171,Norfolk,Massachusetts,25021417100,91176,6133,0.3438773846404696,0.09322709163346614,0.06261209848361324
4172.01,Norfolk,Massachusetts,25021417201,98036,5023,0.6886322914592873,0.11902485659655831,0.1411507067489548
4172.02,Norfolk,Massachusetts,25021417202,90250,3815,0.4975098296199214,0.07932542161149282,0.10432503276539974
4173,Norfolk,Massachusetts,25021417300,136691,3268,0.23347613219094243,0.11373930548565676,0.07687296416938111
4174,Norfolk,Massachusetts,25021417400,140917,3150,0.1968253968253968,0.11207645525629888,0.03727301688435808
4175.01,Norfolk,Massachusetts,25021417501,82435,5512,0.5043541364296081,0.06619047619047619,0.102322206095791
4175.02,Norfolk,Massachusetts,25021417502,74657,4653,0.5770470664087686,0.2135,0.12679991403395657
4176.01,Norfolk,Massachusetts,25021417601,99811,5752,0.4448887343532685,0.16049382716049382,0.09164017205909857
4176.02,Norfolk,Massachusetts,25021417602,94321,4801,0.4426161216413247,0.1561535068372298,0.10747760883149345
4177.02,Norfolk,Massachusetts,25021417702,126645,2875,0.19930434782608697,0.05971563981042654,0.10491460439177414
4177.03,Norfolk,Massachusetts,25021417703,48750,2304,0.40364583333333337,0.40853217642805495,0.1269083969465649
